"Front","Back"
"🌐 <b>How the Web Works</b>","<b>🌟 ভাবনা থেকে শুরু:</b> ভেবে দেখো, তুমি যখন একটা ওয়েবসাইটের ঠিকানা লিখে Enter চাপো, তখন কী ঘটে? যেন জাদুর মতো, কিছু মুহূর্তের মধ্যেই পেজ ভেসে ওঠে। আসলে এর পেছনে আছে অনেক জটিল অথচ সুন্দরভাবে সমন্বিত একটি যন্ত্র—ইন্টারনেট।<br><br><b>📖 সারাংশ:</b> ওয়েব কাজ করে <i>Client</i>, <i>Server</i> এবং তাদের মধ্যে তথ্য আদান-প্রদানের মাধ্যমে। এই যোগাযোগ হয় <i>HTTP</i> বা <i>HTTPS</i> প্রোটোকল দিয়ে।<br><br><b>📦 মূল উপাদান:</b><br>1. <b>Client</b> — যেমন তুমি আর তোমার ব্রাউজার<br>2. <b>API</b> — যেখানে প্রোটোকল, ডোমেইন, রিসোর্স ইত্যাদি থাকে<br>3. <b>Server</b> — যেখান থেকে ওয়েবপেজ আসে<br>4. <b>HTTP Request & Response</b> — যোগাযোগের মাধ্যম<br><br><b>🔮 তুলনা:</b><br>একটা চিঠি লেখো, ডাকঘরে পাঠাও, সেটা যায় গন্তব্যে, সেখান থেকে উত্তর আসে—এই পুরো প্রক্রিয়াটা যেন ওয়েবের এক বিশাল চিঠিপত্রের খেলা।"
"🧑‍💻 <b>Client</b>","<b>🎯 চিন্তা করো:</b> তুমি যখন ব্রাউজারে google.com লেখো, তখন তুমিই হলে <i>client</i>।<br><br><b>📖 সংজ্ঞা:</b> Client হলো যেই পক্ষ ওয়েব সার্ভার থেকে কোনো তথ্য বা রিসোর্স চায়—বেশিরভাগ সময় এটা হয় তোমার কম্পিউটার, ফোন বা ব্রাউজার।<br><br><b>🌍 উদাহরণ:</b><br>1. তোমার ফোনে Chrome browser<br>2. ল্যাপটপের Firefox<br><br><b>🔮 তুলনা:</b><br>তুমি একটা রেস্টুরেন্টে গিয়ে অর্ডার দিলে তুমি হলে <i>client</i>।"
"🔗 <b>API (Application Programming Interface)</b>","<b>🌟 ভাবো:</b> তুমি কাউকে প্রশ্ন করো: ‘আজকে আবহাওয়া কেমন?’ সে উত্তর দেয়—এই যোগাযোগটাই যেন API.<br><br><b>📖 সংজ্ঞা:</b> API হলো এক ধরনের চুক্তি, যার মাধ্যমে client ও server কীভাবে কথা বলবে, সেটা ঠিক করা থাকে।<br><br><b>📦 গঠন:</b><br>1. <b>Protocol</b><br>2. <b>Domain</b><br>3. <b>Resource</b><br><br><b>🔮 তুলনা:</b><br>API হলো ফোন নম্বর, যার মাধ্যমে তুমি কাউকে কল দাও; কীভাবে কথা বলবে, কিভাবে উত্তর আসবে—সব আগেই ঠিক করা থাকে।"
"📡 <b>Protocol</b>","<b>📖 সংজ্ঞা:</b> Protocol মানে হলো নির্দিষ্ট নিয়ম বা ভাষা, যার মাধ্যমে client ও server পরস্পরের সাথে যোগাযোগ করে। যেমন: <i>HTTP</i>, <i>HTTPS</i>, <i>FTP</i>।<br><br><b>🔮 তুলনা:</b> তুমি যদি একজন স্প্যানিশ মানুষকে ইংরেজিতে কিছু বলো, সে যদি ইংরেজি না বোঝে, তাহলে তোমাদের কথা হবে না। Protocol হলো সেই ‘ভাষা’ যা উভয়পক্ষ বোঝে।"
"🌍 <b>Domain</b>","<b>📖 সংজ্ঞা:</b> Domain হলো কোনো ওয়েবসাইটের নাম যা মানুষ মনে রাখতে পারে, যেমন: <i>facebook.com</i>, <i>thrivext.dev</i><br><br><b>🌐 কিন্তু ভিতরে কী:</b><br>• এটা এক বা একাধিক <i>IP Address</i>-এ রিডাইরেক্ট করে<br>• <i>DNS Server</i> কাজ করে নামটা থেকে IP খুঁজে বের করতে<br>• <i>Port number</i> দেখায় কোন দরজা দিয়ে প্রবেশ করতে হবে<br>• সব মিলিয়ে তৈরি হয় <i>TCP/IP Socket Connection</i><br><br><b>🔮 তুলনা:</b><br>তোমার নাম Sabbir, কিন্তু ইন্টারনেটের দৃষ্টিতে তুমি এক্সাক্টলি একটা সংখ্যার মতো (IP address)। Domain হলো তোমার 'ডাকনাম'।"
"🌐 <b>IP Address</b>","<b>📖 সংজ্ঞা:</b> IP Address হলো একটি কম্পিউটারের ঠিকানা, যার মাধ্যমে তাকে খুঁজে পাওয়া যায়। যেমন: <i>192.168.1.1</i><br><br><b>🔮 তুলনা:</b> এটা অনেকটা বাড়ির ঠিকানার মতো—তুমি যদি কাউকে চিঠি পাঠাতে চাও, তাহলে ঠিকানা দরকার হয়।"
"🔎 <b>DNS Server</b>","<b>📖 সংজ্ঞা:</b> DNS (Domain Name System) Server কাজ করে domain নাম থেকে IP address বের করে দেওয়ার জন্য।<br><br><b>🌍 উদাহরণ:</b> তুমি google.com টাইপ করো, DNS বলে দেয় এর আসল IP কী।<br><br><b>🔮 তুলনা:</b> এটা হলো এক ধরনের ইন্টারনেটের ফোনবই—নাম দিয়ে নম্বর খোঁজার মতো।"
"🚪 <b>Port Number</b>","<b>📖 সংজ্ঞা:</b> Port number হলো সেই 'দরজা' যেখানে নির্দিষ্ট পরিষেবার (service) জন্য ডেটা পাঠানো হয়। যেমন: <i>port 80</i> = HTTP, <i>port 443</i> = HTTPS<br><br><b>🔮 তুলনা:</b> এক বাড়িতে অনেক ঘর থাকে—তেমনি এক IP address-এ অনেক সার্ভিস থাকতে পারে। Port number বলে দেয় কোন ঘরে ঢুকতে হবে।"
"🔌 <b>TCP/IP Socket Connection</b>","<b>📖 সংজ্ঞা:</b> TCP/IP socket connection হলো client আর server-এর মধ্যে স্থায়ী এবং নির্ভরযোগ্য ডেটা লিংক তৈরির পদ্ধতি।<br><br><b>🔮 তুলনা:</b> এটা অনেকটা ফোন লাইনের মতো—একবার সংযোগ হলে যতক্ষণ না সংযোগ বিচ্ছিন্ন করা হয়, ততক্ষণ দুইপক্ষ কথা চালাতে পারে।"
