"front","back"
"তৃতীয় অধ্যায়ের নাম কী?","ব্যাপন, অভিস্রবণ ও প্রস্বেদন"
"উদ্ভিদ কিসের সাহায্যে মাটি থেকে পানি ও খনিজ লবণ শোষণ করে?","মূলের সাহায্যে"
"শোষিত পানি ও রস কাণ্ডের ভিতর দিয়ে কোথায় পৌঁছায়?","পাতায়"
"উদ্ভিদ বাষ্প আকারে দেহ থেকে কী বের করে দেয়?","পানি"
"উদ্ভিদের কার্বন ডাইঅক্সাইড গ্রহণ এবং অক্সিজেন ত্যাগ কোন প্রক্রিয়ার মাধ্যমে ঘটে?","ব্যাপন"
"উদ্ভিদের পানি শোষণ কোন প্রক্রিয়ার মাধ্যমে ঘটে?","অভিস্রবণ"
"উদ্ভিদ দেহ থেকে পানি বাষ্প আকারে বের করে দেওয়াকে কী বলে?","প্রস্বেদন"
"প্রস্বেদনের কারণে পানি বাষ্পাকারে কোন প্রক্রিয়ায় পাতা থেকে বাইরে নির্গমন হয়?","ব্যাপন"
"সব পদার্থ কী দিয়ে তৈরি?","ক্ষুদ্র ক্ষুদ্র অণু"
"পদার্থের অণুগুলো সবসময় কী অবস্থায় থাকে?","গতিশীল বা চলমান"
"তরল ও গ্যাসের ক্ষেত্রে অণুগুলোর চলন কেমন হয়?","দ্রুত হয়"
"অণুগুলো কোন দিক থেকে কোন দিকে ছড়িয়ে পড়তে থাকে?","বেশি ঘনত্বের স্থান থেকে কম ঘনত্বের দিকে"
"অণুগুলোর বেশি ঘনত্বের স্থান থেকে কম ঘনত্বের দিকে ছড়িয়ে পড়ার প্রক্রিয়াকে কী বলে?","ব্যাপন"
"ব্যাপন প্রক্রিয়া কখন পর্যন্ত চলতে থাকে?","যতক্ষণ না অণুগুলোর ঘনত্ব দুই স্থানে সমান হয়"
"অণু-পরমাণুগুলোর গতিশক্তির প্রভাবে যে চাপ সৃষ্টি হয় তাকে কী বলে?","ব্যাপন চাপ"
"পদার্থের ব্যাপন কখন বন্ধ হয়ে যায়?","অণুগুলোর ঘনত্ব সর্বত্র সমান হওয়া মাত্রই"
"ঘরে সেন্ট বা আতর ছড়ালে বা ধূপ জ্বালালে সমস্ত ঘরে তার সুবাস ছড়িয়ে পড়ে কেন?","ব্যাপনের কারণে"
"ধূপের ধোঁয়া ও সেন্টের অণুগুলো কেমন হওয়ায় সম্পূর্ণ ঘরে ছড়িয়ে পড়ে?","অধিক ঘনত্ব সম্পন্ন হওয়ায়"
"পানিতে তুঁতে ফেললে সমস্ত পানির রং নীল হয় কোন প্রক্রিয়ায়?","ব্যাপন"
